bitstring,expectation,penalty,valid
011 11 00,11.0,3,False
011 11 01,11.0,3,False
010 10 10,7.0,3,False
010 10 11,7.0,3,False
010 11 10,14.0,3,False
010 11 11,18.0,3,False
011 10 10,10.0,3,False
011 10 11,6.0,3,False
011 11 10,15.0,3,False
011 11 11,15.0,3,False
100 00 00,1.0,3,False
100 00 01,5.0,3,False
100 01 00,10.0,3,False
100 01 01,18.0,3,False
101 00 00,2.0,3,False
101 00 01,2.0,3,False
101 01 00,9.0,3,False
101 01 01,13.0,3,False
100 00 10,1.0,3,False
100 00 11,5.0,3,False
100 01 10,10.0,3,False
100 01 11,18.0,3,False
101 00 10,2.0,3,False
101 00 11,2.0,3,False
101 01 10,9.0,3,False
101 01 11,13.0,3,False
100 10 00,2.0,3,True
100 10 01,6.0,3,False
100 11 00,11.0,3,False
100 11 01,19.0,3,False
101 10 00,3.0,3,False
101 10 01,3.0,3,False
101 11 00,10.0,3,True
101 11 01,14.0,3,False
100 10 10,6.0,3,False
100 10 11,10.0,3,False
100 11 10,15.0,3,False
100 11 11,23.0,3,False
101 10 10,7.0,3,False
101 10 11,7.0,3,False
101 11 10,14.0,3,False
101 11 11,18.0,3,False
110 00 00,5.0,3,False
110 00 01,5.0,3,False
110 01 00,12.0,3,False
110 01 01,16.0,3,False
111 00 00,8.0,3,False
111 00 01,4.0,3,False
111 01 00,13.0,3,False
111 01 01,13.0,3,False
110 00 10,1.0,3,False
