bitstring,expectation,penalty,valid
011 00 10,5.0,8,False
011 00 11,1.0,8,False
011 01 10,65.0,8,False
011 01 11,65.0,8,False
010 10 00,8.0,8,False
010 10 01,8.0,8,False
010 11 00,70.0,8,True
010 11 01,74.0,8,False
011 10 00,11.0,8,False
011 10 01,7.0,8,True
011 11 00,71.0,8,False
011 11 01,71.0,8,False
010 10 10,12.0,8,False
010 10 11,12.0,8,False
010 11 10,74.0,8,False
010 11 11,78.0,8,False
011 10 10,15.0,8,False
011 10 11,11.0,8,False
011 11 10,75.0,8,False
011 11 11,75.0,8,False
100 00 00,1.0,8,False
100 00 01,5.0,8,False
100 01 00,65.0,8,False
100 01 01,73.0,8,False
101 00 00,2.0,8,False
101 00 01,2.0,8,False
101 01 00,64.0,8,False
101 01 01,68.0,8,False
100 00 10,1.0,8,False
100 00 11,5.0,8,False
100 01 10,65.0,8,False
100 01 11,73.0,8,False
101 00 10,2.0,8,False
101 00 11,2.0,8,False
101 01 10,64.0,8,False
101 01 11,68.0,8,False
100 10 00,7.0,8,True
100 10 01,11.0,8,False
100 11 00,71.0,8,False
100 11 01,79.0,8,False
101 10 00,8.0,8,False
101 10 01,8.0,8,False
101 11 00,70.0,8,True
101 11 01,74.0,8,False
100 10 10,11.0,8,False
100 10 11,15.0,8,False
100 11 10,75.0,8,False
100 11 11,83.0,8,False
101 10 10,12.0,8,False
101 10 11,12.0,8,False
101 11 10,74.0,8,False
101 11 11,78.0,8,False
110 00 00,5.0,8,False
110 00 01,5.0,8,False
110 01 00,67.0,8,False
